loggedAt,username,action,objectType,objectId,status,error
2026-06-12T01:57:49,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T01:56:10,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:55:38,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:55:22,UAT.AUTOTEST1,LOGIN,DCT_USERS,UAT.AUTOTEST1,FAILURE,Account is inactive
2026-06-12T01:54:20,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:53:25,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:53:14,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:51:42,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:51:29,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:51:11,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T01:51:07,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:51:04,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T01:50:56,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:50:47,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:49:00,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:48:52,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T01:48:42,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:48:07,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:47:02,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T01:45:24,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:44:52,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:44:36,UAT.AUTOTEST1,LOGIN,DCT_USERS,UAT.AUTOTEST1,FAILURE,Account is inactive
2026-06-12T01:43:34,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:42:39,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:42:28,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:40:57,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:40:43,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:40:26,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T01:40:22,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:40:19,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T01:40:11,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:40:01,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:39:04,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:38:57,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T01:38:46,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:38:11,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:37:07,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T01:35:29,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:34:57,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:34:40,UAT.AUTOTEST1,LOGIN,DCT_USERS,UAT.AUTOTEST1,FAILURE,Account is inactive
2026-06-12T01:33:39,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:32:44,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:32:33,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:31:02,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:30:48,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:30:31,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T01:30:27,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:30:24,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T01:30:17,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:30:07,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:28:45,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:27:04,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:26:57,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T01:26:46,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:26:11,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:25:07,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T01:23:30,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:22:58,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:22:41,UAT.AUTOTEST1,LOGIN,DCT_USERS,UAT.AUTOTEST1,FAILURE,Account is inactive
2026-06-12T01:21:40,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:20:45,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:20:34,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:18:58,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:18:45,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:18:27,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T01:18:23,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:18:20,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T01:18:13,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:18:04,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:14:32,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:14:24,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T01:14:14,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:13:39,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:12:35,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T01:10:50,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:10:19,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:10:02,UAT.AUTOTEST1,LOGIN,DCT_USERS,UAT.AUTOTEST1,FAILURE,Account is inactive
2026-06-12T01:09:02,UAT.AUTOTEST1,LOGIN,,,SUCCESS,
2026-06-12T01:07:59,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:07:48,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T01:06:33,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:06:20,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:06:02,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T01:05:58,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:05:55,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T01:05:47,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:05:38,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:54:13,UAT.PWDTEST,LOGIN,,,SUCCESS,
2026-06-12T00:52:14,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T00:51:40,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T00:51:36,ADMIN,LOGIN,,,SUCCESS,
