Changed across the years from ,to,Inactive / Yet to be discarded,< remarks as of 2025 ,,,,,,,,
,,,,,,,,,,,
CostCenter_2018_2019,CostCenter_2020_2023,CostCenter_2024_2025,Department,Sector,Entity,Activity,Status & Remarks as of 2023,Status & Remarks as of 2024,Status & Remarks as of 2025,,RLS
4517100,4517100,4517100,DCT - Logistics & Procurement Cultural Programs/Heritage Festivals Ctee,Heritage & Culture Committee,Heritage & Culture Committee,Heritage & Culture Committee,,,,,INACTIVE
4517150,4517150,4517150,DCT - Communications Cultural Programs/Heritage Festivals Ctee,Heritage & Culture Committee,Heritage & Culture Committee,Heritage & Culture Committee,,,,,INACTIVE
4517200,4517200,4517200,DCT - Finance Cultural Programs/Heritage Festivals Ctee,Heritage & Culture Committee,Heritage & Culture Committee,Heritage & Culture Committee,,,,,INACTIVE
4517250,4517250,4517250,DCT - HR Cultural Programs/Heritage Festivals Ctee,Heritage & Culture Committee,Heritage & Culture Committee,Heritage & Culture Committee,,,,,INACTIVE
4519810,4519810,-,DCT - Stimulus,Stimulus,DCT,Stimulus,,,,,DCT - Stimulus
4510195,4510195,4510195,ALC - Arabic Language Centre (Central),ALC,ALC,ALC,,,,,ALC - Arabic Language Centre (Central)
4519196,4519196,4519196,ALC - Marketing & Communications,ALC,ALC,ALC,NEW (AUG),,,,TBC
4519197,4519197,4519197,ALC - Education & Research,ALC,ALC,ALC,NEW (AUG),,,,TBC
4519198,4519198,4519198,ALC - Corporate Communication Office,ALC,ALC,ALC,NEW (AUG),,,,TBC
4519199,4519199,4519199,ALC - Creative Content ,ALC,ALC,ALC,NEW (AUG),,,,TBC
4519200,4519200,4519200,ALC - Bookfair & Events ,ALC,ALC,ALC,NEW (AUG),,,,TBC
4519201,4519201,4519201,ALC - Literature Awards ,ALC,ALC,ALC,NEW (AUG),,,,TBC
4519202,4519202,4519202,ALC - Specialized Libraries,ALC,ALC,ALC,NEW (AUG),,,,TBC
4519203,4519203,4519203,ALC - Strategic Planning Office,ALC,ALC,ALC,NEW (AUG),,,,ALC - Strategic Planning Office
4519204,4519204,4519204,ALC - Corporate Communication Office Head,ALC,ALC,ALC,,,,,TBC
4513000,4513000,4513000,DCT - Strategic Marketing & Communication ,Strategic Marketing & Communication,DCT,Core Operations,NEW - 2023,,,,PARENT
4510175,4510175,4510175,DCT - Media Affairs ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Media Affairs
4513111,4513111,4513111,DCT - Central Strategic MarComms,Strategic Marketing & Communication,DCT,Core Operations,,NEW - 2024,,,DCT - Central Strategic MarComms
4513110,4513110,4513110,"DCT - Creative, Social, & Digital",Strategic Marketing & Communication,DCT,Core Operations,NEW - 2023,,,,"DCT - Creative, Social, & Digital"
4513120,4513120,4513120,DCT - Strategic Communications ,Strategic Marketing & Communication,DCT,Core Operations,NEW - 2023,,,,DCT - Strategic Communications
4513130,4513130,4513130,"DCT - Planning, Strategy & Operations ",Strategic Marketing & Communication,DCT,Core Operations,NEW - 2023,,,,"DCT - Planning, Strategy & Operations"
4513140,4513140,4513140,DCT - Sector Marketing ,Strategic Marketing & Communication,DCT,Core Operations,NEW - 2023,,,,DCT - Sector Marketing
